ID,AREA,DATA,MUN,DIST,CLAS_CEM,CATEG,INSTANC,NOM_TIPO,NOM_PREP,NOME,NOM_ETIQ,NOM_TP_A,NOM_PR_A,NOM_A,NOM_ET_A,ANO,AREA_M2,AREA_HA,AREA_KM2,GESTAO,OBS,FAIXA_AREA
18183,0.022701,7,SAO PAULO,GRAJAU,VERDE 6,PARQUE LINEAR,MUNICIPAL,PARQUE,,RIBEIRAO COCAIA-OPCAO BRASIL,PARQUE RIBEIRAO COCAIA-OPCAO BRASIL,Parque,,Ribeirão Cocaia-Opção Brasil,Parque Ribeirão Cocaia-Opção Brasil,,22700,2.270062,0.022701,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,1-5 ha
18197,0.02829,369,SAO PAULO,CIDADE DUTRA,VERDE 5,PARQUE LINEAR,MUNICIPAL,PARQUE,,SAO JOSE,PARQUE SAO JOSE,Parque,,Sao José,Parque Sao José,2008.0,28289,2.828952,0.02829,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,1-5 ha
18211,0.042641,366,SAO PAULO,GRAJAU,VERDE 5,PARQUE LINEAR,MUNICIPAL,PARQUE,,RIBEIRAO COCAIA-CHACARA TANAY,PARQUE RIBEIRAO COCAIA-CHACARA TANAY,Parque,,Ribeirão Cocaia-Chacara Tanay,Parque Ribeirão Cocaia-Chacara Tanay,,42641,4.264138,0.042641,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,1-5 ha
18225,0.059889,8,SAO PAULO,GRAJAU,VERDE 4,PARQUE URBANO,MUNICIPAL,PARQUE,,SHANGRILA,PARQUE SHANGRILA,Parque,,Shangrilá,Parque Shangrilá,2008.0,59889,5.988914,0.059889,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,5-10 ha
18241,0.011418,368,SAO PAULO,GRAJAU,VERDE 6,PRACA,MUNICIPAL,PRACA,,IVONE DOS SANTOS RATTIS,PRACA IVONE DOS SANTOS RATTIS,Praça,,Ivone dos Santos Rattis,Praça Ivone dos Santos Rattis,,11417,1.141795,0.011418,,,1-5 ha
18255,0.075523,9,SAO PAULO,CIDADE DUTRA,VERDE 4,PARQUE URBANO,MUNICIPAL,PARQUE,,GUANHEMBU BENEDITA RAMOS CARUSO,PARQUE GUANHEMBU BENEDITA RAMOS CARUSO,Parque,,Guanhembu-Benedita Ramos Caruso,Parque Guanhembu-Benedita Ramos Caruso,2011.0,75523,7.552305,0.075523,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,5-10 ha
18269,0.189411,374,SAO PAULO,JARDIM ANGELA,VERDE 3,PARQUE URBANO,MUNICIPAL,PARQUE,,MBOI MIRIM,PARQUE MBOI MIRIM,Parque,,Mboi Mirim,Parque Mboi Mirim,2012.0,189411,18.941123,0.189411,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,10-50 ha
18283,3.057477,10,SAO PAULO,JARDIM ANGELA,VERDE 2,PARES,ESTADUAL,PARQUE ECOLOGICO,,GUARAPIRANGA,PARES GUARAPIRANGA,Parque Ecológico,,Guarapiranga,PARES Guarapiranga,1999.0,3057477,305.747725,3.057477,SIMA - COORDENADORIA DE PARQUES E PARCERIAS,,>100 ha
18297,0.005274,11,SAO PAULO,JARDIM ANGELA,VERDE 6,PRACA,MUNICIPAL,PRACA,,BAMBUZAL,PRACA BAMBUZAL,Praça,,Bambuzal,Praça Bambuzal,,5274,0.527421,0.005274,,,0.5-1 ha
18311,0.133968,12,SAO PAULO,CAPAO REDONDO,VERDE 3,PARQUE URBANO,MUNICIPAL,PARQUE,,SANTO DIAS,PARQUE SANTO DIAS,Parque,,Santo Dias,Parque Santo Dias,1992.0,133967,13.39675,0.133967,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,10-50 ha
18325,0.017077,13,SAO PAULO,JARDIM SAO LUIS,VERDE 6,PRACA,MUNICIPAL,PRACA,,,PRACA,Praça,,,Praça,,17076,1.70768,0.017077,,,1-5 ha
18340,0.076639,14,SAO PAULO,JARDIM ANGELA,VERDE 4,PARQUE URBANO,MUNICIPAL,PARQUE,,JARDIM HERCULANO,PARQUE JARDIM HERCULANO,Parque,,Jardim Herculano,Parque Jardim Herculano,2011.0,76639,7.663941,0.076639,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,5-10 ha
18354,0.014059,15,SAO PAULO,JARDIM SAO LUIS,VERDE 6,PRACA,MUNICIPAL,PRACA,,,PRACA,Praça,,,Praça,,14058,1.405875,0.014059,,,1-5 ha
18368,0.022941,16,SAO PAULO,JARDIM ANGELA,VERDE 6,PARQUE URBANO,MUNICIPAL,RESERVA,,ALTOS DA BARONESA,RESERVA ALTOS DA BARONESA,Reserva,,Altos da Baronesa,Reserva Altos da Baronesa,2012.0,22941,2.294148,0.022941,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,1-5 ha
